#{"t_start": 1784624527.1531265, "env_id": "SuperMarioBros-v2"}
r,l,t
4824.0,531,5.333098
5787.0,687,10.032836
3273.0,312,11.820295
5942.0,660,16.418453
4570.0,557,20.325736
3021.0,311,22.093998
3422.0,415,24.477452
6416.0,780,29.775808
1451.0,151,30.672024
5167.0,575,34.716086
1825.0,205,35.878544
4427.0,509,39.475979
2975.0,342,41.44719
5585.0,627,45.84253
1459.0,166,46.760479
5600.0,630,51.196889
1468.0,168,52.532112
5163.0,674,58.443582
2028.0,216,60.027787
5779.0,660,65.720471
5573.0,714,71.660766
